Host Name,OS,OS - EOL RATING,LOCATION,REGION,System Classification,Applications / Business Processes / functions ,"VBP, DR, or SLA",Brand,Model,Type / Product #,Serial Number,MODEL - EOL RATING,MODEL,Location Address,Location,
GLPWBUDCDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPRDUDCDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSELDRDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPPEKSHDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSHEHQDC040,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSHEHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPWBUDCDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPRDUDCDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPDLCACDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPFRADODC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPFRADODC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPFRADSDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPBOMHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPHKGHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPJKTHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPBKKHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPTPEHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSMORCDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSELDRDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSHEHQDC030,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPJKTHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSHEHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSMORCDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPBKKHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSYDHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSYDHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSINHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSINHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPMNLHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPMNLHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPHKGHQDC020,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPPEKSHDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSHEHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPSELHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSHEHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPCHIHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPCHIRCDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPYYZHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPSELHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
GLPPEKSHDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPBOMHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
APPTPEHQDC010,W2012 R2,MAINSTREAM,API - Remote Asia,API,Production,,,,,,,MAINSTREAM,VIRTUAL,,,
AS020ATVI11,W2003,EXIT,AT - Vienna,APEL,Non- Production,AST_RSM_ATVI,BRONZE,HP,Proliant DL380 G5,391835-B21,GB8812EKKR,EXIT,DL380 G5,Astellas Pharma Ges mBH Linzerstrasse 221/E02 1140 Vienna,Austria / Vienna,
AS010ATVI11,W2003,EXIT,AT - Vienna,APEL,Non- Production,AST_RSM_ATVI,BRONZE,UnKnown,UnKnown,Unknown,UnKnown,,,Astellas Pharma Ges mBH Linzerstrasse 221/E02 1140 Vienna,Austria / Vienna,
EUPVIEHQDT010,W2008 R2,SUNSET,AT - Vienna,APEL,Production,DFS /DHCP,BRONZE,HP,Proliant DL380 G6,491335-421,CZ20247LM1,SUNSET,DL380 G6,Astellas Pharma Ges mBH Linzerstrasse 221/E02 1140 Vienna,Austria / Vienna,
EUPVIEHQPR010,W2008 R2,SUNSET,AT - Vienna,APEL,Production,AST_AFFILIATE_PRINT_PRD,BRONZE,HP,Proliant DL380 G7,583969-421,CZ214608VT,SUNSET,DL380 G7,Astellas Pharma Ges mBH Linzerstrasse 221/E02 1140 Vienna,AT - ,
AS020BEBR11,W2003,EXIT,BE - Brussels,APEL,Non- Production,AST_RSM_BEBR,BRONZE,HP,Proliant DL360 G2,Unknown,8210KC241011,EXIT,DL360 G2,,Belgium / Brussels,
FP010BEBR11,W2003,EXIT,BE - Brussels,APEL,Non- Production,AST_RSM_BEBR,BRONZE,HP,Proliant DL380 G3,349201-421,81PBLDN72C,MAINSTREAM,DL380 G3,"Astellas Phara BV Erasmus Park Square Marie Curie 50/1 Building 5, 1st Floor B-1070 Brussels",Belgium / Brussels,
AS050BEBR11,W2003,EXIT,BE - Brussels,APEL,Non- Production,AST_RSM_BEBR,BRONZE,HP,Proliant DL380 G3,Unknown,81P9LDN72C,MAINSTREAM,DL380 G3,,Belgium / Brussels,
AS030BEBR11,W2003,EXIT,BE - BRUSSELS,APEL,Non- Production,AST_RSM_BEBR,BRONZE,HP,Proliant ML350 G4,Unknown,7J16JFX85K0K,EXIT,ML350 G4,,Belgium / Brussels,
EUPBRUHQDT010,W2008 R2,SUNSET,BE - BRUSSELS,APEL,Production,"EMC,DFS",BRONZE,HP,Proliant DL380 G6,491335-421,CZ20257VN7,SUNSET,DL380 G6,Belgium / Astellas Pharma Belux / Brüssel / Square Marie Curie 50/1 Building 5 / IT Raum 01 / Rack1-1,BE - Brussels,
EUPSOFHQDT010,W2008 R2,SUNSET,BG - Sofia,APEL,Production,"EMC,DFS",BRONZE,HP,Proliant DL320 G6,505682-421,CZ103602EZ,SUNSET,DL320 G6,"Bulgaria / Astellas Pharma EOOD / Sofia / 51 A, Nikola Vaptsarov bld / IT Raum 01 / Rack1",Bulgaria / Sofia,
ASTDCSAOPA1,W2003,EXIT,BR - Sao Paulo,AUS,Production,AST Domain Controller (US.Astellas.net) - San Paulo+ DHCP Server,SILVER,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,NA,AST Sao Paulo,
ASPSAOOFVS010,W2008,SUNSET,BR - Sao Paulo,AUS,Production,AST Hyper-V HOST (hosting DC Virtual Server) - San Paulo,SILVER,HP,Proliant DL380 G5,Unknown,BRC850N0QD,EXIT,DL380 G5,"Av. das Nações Unidas, nº 14.171 - Rochaverá Corporate Towers - Torre B - 4º andar - sala 402 - CEP: 04794-000 - Vila Gertrudes - São Paulo/SP ",AST Sao Paulo,
ASPSAOOFDC010,W2008,SUNSET,BR - Sao Paulo,AUS,Production,AST Domain Controller (americas.astellas.net) - San Paulo,SILVER,Virtual,Virtual,Virtual,Virtual,MAINSTREAM,VIRTUAL,NA,AST Sao Paulo,
ASPSAOOFFP01,W2008 R2,SUNSET,BR - Sao Paulo,AUS,Production,File and print (Media Management Server),BRONZE,HP,Proliant DL380P G8,Unknown,BRC3102YME,MAINSTREAM,DL380 G8,"Av. das Nações Unidas, nº 14.171 - Rochaverá Corporate Towers - Torre B - 4º andar - sala 402 - CEP: 04794-000 - Vila Gertrudes - São Paulo/SP ",AST Sao Paulo,
