Host Name,OS,LOCATION,REGION,Environment,APPLICATION,MODEL
5,ESX 5.0,NL - Meppel,EUTD,Production,,DL380P G8
AP1UXSA01,SUSE 11,IBM Makuhari DC,API,Production,,VIRTUAL
APIDDI01,CentOS 6.5,IBM Makuhari DC,API,Production,,VIRTUAL
APITSR06,CENTOS,JP -Tsukuba,API,Production,,DL360 G4p
APIU1051,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIU1052,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIU1061,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIU1062,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIUVCAS010,Ubuntu,IBM Makuhari DC,API,Production,,VIRTUAL
APIUXES1 ESM,GNU/LINUX 2.4.21,JP - Kashima,API,Production,,DL360 G3
APIUXMV5,HP-UX 11i v3(B.11.31),IBM Makuhari DC,API,Production,,Integrity rx2800i2
APIUXMV6,HP-UX 11i v3(B.11.31),IBM Makuhari DC,API,Production,,Integrity rx2800i2
APIUXMV7,HP-UX 11i v3(B.11.31),IBM Nanko DC,API,Pre-Production,,Integrity rx2800i2
APIUXMV8,HP-UX 11i v3(B.11.31),IBM Nanko DC,API,Pre-Production,,Integrity rx2800i2
APIUXNP0,RHEL 6.5,IBM Makuhari DC,API,Production,,DL360e G8
APIUXNP1,RHEL 6.5,IBM Makuhari DC,API,Production,,DL360e G8
APIUXNP2,RHEL 6.5,IBM Makuhari DC,API,Production,,DL360e G8
APIUXSA02,SUSE 11,IBM Makuhari DC,API,Production,,VIRTUAL
APIUXSA03,SUSE 11,IBM Makuhari DC,API,Production,,VIRTUAL
APPBKKHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPBOMHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPHKGHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPJKTHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPMNLHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPOSAKSDC010,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
APPOSAKSDC020,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
APPOSAKSEX011,W2008 R2,JP - Nanko DC,API,Disaster Recovery,,BL460c G6
APPOSAKSEX021,W2008 R2,JP - Nanko DC,API,Disaster Recovery,,VIRTUAL
APPPEKSHDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPPEKSHDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPPEKSHEX011,W2008 R2,UNKNOWN,API,Disaster Recovery,,VIRTUAL
APPPEKSHEX021,W2008 R2,UNKNOWN,API,Disaster Recovery,,VIRTUAL
APPPEKSHRA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSELDRDC010,W2012 R2,API - Remote Asia,API,Disaster Recovery,,VIRTUAL
APPSELDRRA010,W2008 R2,UNKNOWN,API,Disaster Recovery,,VIRTUAL
APPSELHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSELHQRA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHASODC010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHASORA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQDC030,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQDC040,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
