OS,EoL or EoS Date,
AIX 5.1,01/01/2006,
AIX 6.1,30/04/2017,
AIX 7.1,04/12/2021,
CENTOS,30/11/2020,
CentOS 6.5,30/11/2020,
ESX 5.0,24/08/2016,
ESX 5.1,24/08/2016,
ESXi 5.0,24/08/2016,
ESXi 5.5,30/11/2020,
ESXi5.5,30/11/2020,
GNU/LINUX 2.4.21,31/03/2016,
HPUX,30/12/2020,
HP-UX 11i v3(B.11.31),30/12/2020,
RHEL 4,31/03/2016,
RHEL 5,31/03/2017,
RHEL 5.11,31/03/2017,
RHEL 6,31/12/2019,
RHEL 6.3,31/12/2019,
RHEL 6.4,31/12/2019,
RHEL 6.5,31/12/2019,
RHEL 6.7,31/12/2019,
SOLARIS 10,31/12/2017,
SUSE 10,31/07/2016,
SUSE 11,31/12/2019,
Suse Linux 64bit(vCenter Server Applience),31/12/2019,
Ubuntu,31/12/2019,
W2000,13/07/2010,
W2003,14/07/2015,
W2003 R2,14/07/2015,
W2008,14/01/2020,
W2008 R2,14/01/2020,
W2012,10/01/2023,
W2012 R2,10/01/2023,
WIN XP,04/08/2014,
WINNT,08/04/1999,
